Compra;Ticker;Valor;Valor atual;Tipo;Moeda
30/01/2025;CDB BANCO MASTER DE INVESTIME - ABR/2030 ;9085,14;11076;Compra;BRL
04/08/2023;CDB BCO Masterpos;6000;7889;Compra;BRL
27/06/2023;CDB BCO Master Prpre;4000;5381;Compra;BRL
26/06/2023;CDB BMG ;5000,09;5000,09;Compra;BRL
06/12/2024;CDB BMG ;5943,28;5943,28;Venda;BRL
06/12/2024;CDB BMG ;165,06;165,06;Imposto;BRL
27/07/2022;CDB FLU CDB3228OGKH;5000;5000;Compra;BRL
27/07/2023;CDB FLU CDB3228OGKH;5766,44;5766,44;Venda;BRL
22/02/2022;CDB FLU CDB421DQMFP;109,11;109,11;Imposto;BRL
24/11/2021;CDB FLU CDB421DQMFP;7000;7000;Compra;BRL
22/02/2022;CDB FLU CDB421DQMFP;7484,94;7484,94;Vencimento;BRL
22/02/2022;CDB FLU CDB421DQMFP;109,11;109,11;Imposto;BRL
11/04/2023;CDB PAGBANK - ABR/2024;6989,97;6989,97;Compra;BRL
04/04/2024;CDB PAGBANK - ABR/2024;7956,54;7956,54;Venda;BRL
04/04/2024;CDB PAGBANK - ABR/2024;193,31;193,31;Imposto;BRL
05/04/2022;CDB PRE DU CDB122MLPDS;2002,18;2002,18;Compra;BRL
31/03/2023;CDB PRE DU CDB122MLPDS;2273;2273;Venda;BRL
31/03/2023;CDB PRE DU CDB122MLPDS;54,16;54,16;Imposto;BRL
23/06/2022;CDB PRE DU CDB222NQSUR;2992,45;2992,45;Compra;BRL
14/06/2023;CDB PRE DU CDB222NQSUR;3420,31;3420,31;Venda;BRL
22/04/2024;NTN-B;8753,53;8958;Compra;BRL
14/06/2023;CDB PRE DU CDB222NQSUR;85,57;85,57;Imposto;BRL
08/02/2022;Tesouro Prefixado 2024;4992,38;4992,38;Compra;BRL
01/07/2024;Tesouro Prefixado 2024;214,14;214,14;Imposto;BRL
01/07/2024;Tesouro Prefixado 2024;6420;6420;Vencimento;BRL
11/02/2022;Tesouro Selic 2024;340,03;340,03;Compra;BRL
02/09/2024;Tesouro Selic 2024;458,64;458,64;Vencimento;BRL
02/09/2024;Tesouro Selic 2024;17,79;17,79;Imposto;BRL
01/01/2026;Caixa;21000;21000;Compra;BRL
